Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-09-10,1,1,21.139,HOU,,JAX,L 7-29,False,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,2,3%,0,0%,1,4%,False,D'Onta Foreman
2017,2017-09-14,2,2,21.143,HOU,@,CIN,W 13-9,False,12,40,3.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,17,26%,0,0%,0,0%,True,D'Onta Foreman
2017,2017-09-24,3,3,21.153,HOU,@,NWE,L 33-36,False,8,25,3.13,0,3,2,65,32.50,0,66.7%,21.67,0,0,,0,0,0,0,0,0,0,0,0,17,24%,0,0%,0,0%,True,D'Onta Foreman
2017,2017-10-01,4,4,21.160,HOU,,TEN,W 57-14,False,13,45,3.46,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,24,29%,0,0%,0,0%,False,D'Onta Foreman
2017,2017-10-08,5,5,21.167,HOU,,KAN,L 34-42,False,4,34,8.50,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,1,1,0,0,0,0,9,14%,0,0%,0,0%,False,D'Onta Foreman
2017,2017-10-15,6,6,21.174,HOU,,CLE,W 33-17,False,12,59,4.92,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,23,35%,0,0%,0,0%,False,D'Onta Foreman
2017,2017-10-29,7,8,21.188,HOU,@,SEA,L 38-41,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,1,1%,0,0%,0,0%,True,D'Onta Foreman
2017,2017-11-05,8,9,21.195,HOU,,IND,L 14-20,False,11,37,3.36,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,20,28%,0,0%,0,0%,False,D'Onta Foreman
2017,2017-11-12,9,10,21.202,HOU,@,LAR,L 7-33,True,7,18,2.57,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,16,23%,0,0%,0,0%,True,D'Onta Foreman
2017,2017-11-19,10,11,21.209,HOU,,ARI,W 31-21,False,10,65,6.50,2,3,3,15,5.00,0,100.0%,5.00,1,12,12.00,0,2,12,1,0,0,0,0,0,18,26%,0,0%,4,13%,False,D'Onta Foreman
2017,2017-11-27,11,12,,HOU,@,BAL,L 16-23,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,D'Onta Foreman
2017,2017-12-03,12,13,,HOU,@,TEN,L 13-24,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,D'Onta Foreman
2017,2017-12-10,13,14,,HOU,,SFO,L 16-26,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,D'Onta Foreman
2017,2017-12-17,14,15,,HOU,@,JAX,L 7-45,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,D'Onta Foreman
2017,2017-12-25,15,16,,HOU,,PIT,L 6-34,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,D'Onta Foreman
2017,2017-12-31,16,17,,HOU,@,IND,L 13-22,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,D'Onta Foreman
2018,2018-09-09,1,1,,HOU,@,NWE,L 20-27,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,True,D'Onta Foreman
2018,2018-09-16,2,2,,HOU,@,TEN,L 17-20,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,True,D'Onta Foreman
2018,2018-09-23,3,3,,HOU,,NYG,L 22-27,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,False,D'Onta Foreman
